19:34:10  DEBUG io.netty.util.ResourceLeakDetector - -Dio.netty.leakDetection.targetRecords: 4
19:34:10  DEBUG i.n.util.ResourceLeakDetectorFactory - Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@538613b3
19:34:10  DEBUG i.n.util.internal.PlatformDependent0 - -Dio.netty.noUnsafe: false
19:34:10  DEBUG i.n.util.internal.PlatformDependent0 - Java version: 11
19:34:10  DEBUG i.n.util.internal.PlatformDependent0 - sun.misc.Unsafe.theUnsafe: available
19:34:10  DEBUG i.n.util.internal.PlatformDependent0 - sun.misc.Unsafe.copyMemory: available
19:34:10  DEBUG i.n.util.internal.PlatformDependent0 - sun.misc.Unsafe.storeFence: available
19:34:10  DEBUG i.n.util.internal.PlatformDependent0 - java.nio.Buffer.address: available
19:34:10  DEBUG i.n.util.internal.PlatformDependent0 - direct buffer constructor: unavailable: Reflective setAccessible(true) disabled
19:34:10  DEBUG i.n.util.internal.PlatformDependent0 - java.nio.Bits.unaligned: available, true
19:34:10  DEBUG i.n.util.internal.PlatformDependent0 - jdk.internal.misc.Unsafe.allocateUninitializedArray(int): unavailable: class io.netty.util.internal.PlatformDependent0$7 cannot access class jdk.internal.misc.Unsafe (in module java.base) because module java.base does not export jdk.internal.misc to unnamed module @4108fa66
19:34:10  DEBUG i.n.util.internal.PlatformDependent0 - java.nio.DirectByteBuffer.<init>(long, int): unavailable
19:34:10  DEBUG i.n.util.internal.PlatformDependent - sun.misc.Unsafe: available
19:34:10  DEBUG i.n.util.internal.PlatformDependent - maxDirectMemory: 536870912 bytes (maybe)
19:34:10  DEBUG i.n.util.internal.PlatformDependent - -Dio.netty.tmpdir: C:\Users\evnik\AppData\Local\Temp (java.io.tmpdir)
19:34:10  DEBUG i.n.util.internal.PlatformDependent - -Dio.netty.bitMode: 64 (sun.arch.data.model)
19:34:10  DEBUG i.n.util.internal.PlatformDependent - Platform: Windows
19:34:10  DEBUG i.n.util.internal.PlatformDependent - -Dio.netty.maxDirectMemory: -1 bytes
19:34:10  DEBUG i.n.util.internal.PlatformDependent - -Dio.netty.uninitializedArrayAllocationThreshold: -1
19:34:10  DEBUG io.netty.util.internal.CleanerJava9 - java.nio.ByteBuffer.cleaner(): available
